"set_id","total_cards","release_date"
"base2",64,"1999/06/16"
"ecard2",182,"2003/01/15"
"base6",110,"2002/05/24"
"ex1",109,"2003/07/01"
"ex2",100,"2003/09/18"
"ex4",97,"2004/03/01"
"ex5",102,"2004/06/01"
"pop1",17,"2004/09/01"
"ex7",111,"2004/11/01"
"pop2",17,"2005/08/01"
"pop3",17,"2006/04/01"
"pop4",17,"2006/08/01"
"ex15",101,"2006/11/01"
"pop5",17,"2007/03/01"
"dpp",56,"2007/05/01"
"dp2",124,"2007/08/01"
"dp3",132,"2007/11/01"
"dp4",106,"2008/02/01"
"pop7",17,"2008/03/01"
"dp5",100,"2008/05/01"
"pop9",17,"2009/03/01"
"pl4",111,"2009/11/04"
"ru1",16,"2009/12/02"
"dv1",21,"2012/10/05"
"bw7",153,"2012/11/07"
"xy4",124,"2014/11/05"
"xy6",112,"2015/05/06"
"xy7",100,"2015/08/12"
"mcd16",12,"2016/08/19"
"smp",250,"2017/02/03"
"det1",18,"2019/04/05"
"swshp",304,"2019/11/15"
"swsh1",216,"2020/02/07"
"swsh35",80,"2020/09/25"
"swsh45sv",122,"2021/02/19"
"swsh5",183,"2021/03/19"
"tk1a",10,"2004/06/01"
"pgo",88,"2022/07/01"
"swsh12",215,"2022/11/11"
"ex13",111,"2006/05/01"
"dp1",130,"2007/05/01"
"dp6",146,"2008/08/01"
"pl2",120,"2009/05/16"
"pl3",153,"2009/08/19"
"hgss1",124,"2010/02/10"
"hgss3",91,"2010/08/18"
"mcd11",12,"2011/06/17"
"bw2",98,"2011/08/31"
"bw10",105,"2013/08/14"
"xyp",216,"2013/10/12"
"xy5",164,"2015/02/04"
"dc1",34,"2015/03/25"
"xy8",165,"2015/11/04"
"xy10",129,"2016/05/02"
"xy12",113,"2016/11/02"
"sm7",187,"2018/08/03"
"swsh45",73,"2021/02/19"
"cel25c",25,"2021/10/08"
"mcd14",12,"2014/05/23"
"mcd17",12,"2017/11/07"
"mcd21",25,"2021/02/09"
"tk2a",12,"2006/03/01"
"tk2b",12,"2006/03/01"
"swsh9",186,"2022/02/25"
"swsh11tg",30,"2022/09/09"
"swsh12pt5gg",70,"2023/01/20"
"sv1",258,"2023/03/31"
"svp",75,"2023/01/01"
"basep",53,"1999/07/01"
"base5",83,"2000/04/24"
"neo1",111,"2000/12/16"
"neo2",75,"2001/06/01"
"neo4",113,"2002/02/28"
"ecard1",165,"2002/09/15"
"ecard3",182,"2003/05/12"
"np",40,"2003/10/01"
"ex10",145,"2005/08/01"
"ex11",114,"2005/10/31"
"ex12",93,"2006/02/01"
"ex14",100,"2006/08/01"
"ex16",108,"2007/02/02"
"pop8",17,"2008/09/01"
"dp7",106,"2008/11/01"
"pl1",133,"2009/02/11"
"hgss2",96,"2010/05/12"
"hgss4",103,"2010/11/03"
"col1",106,"2011/02/09"
"bw3",102,"2011/11/16"
"bw8",138,"2013/02/06"
"bw9",122,"2013/05/08"
"xy0",39,"2013/11/08"
"xy9",126,"2016/02/03"
"xy11",116,"2016/08/03"
"sm3",177,"2017/08/05"
"sm35",81,"2017/10/06"
"sm6",150,"2018/05/04"
"sm75",80,"2018/09/07"
"mcd19",12,"2019/10/15"
"sm12",272,"2019/11/01"
"swsh3",201,"2020/08/14"
"swsh4",203,"2020/11/13"
"swsh7",237,"2021/08/27"
"cel25",25,"2021/10/08"
"mcd18",12,"2018/10/16"
"swsh8",284,"2021/11/12"
"fut20",5,"2020/09/11"
"swsh10",216,"2022/05/27"
"mcd22",15,"2022/08/03"
"base1",102,"1999/01/09"
"base3",62,"1999/10/10"
"base4",130,"2000/02/24"
"gym1",132,"2000/08/14"
"gym2",132,"2000/10/16"
"si1",18,"2001/07/31"
"neo3",66,"2001/09/21"
"ex3",100,"2003/11/24"
"ex6",116,"2004/09/01"
"ex8",108,"2005/02/01"
"ex9",107,"2005/05/01"
"pop6",17,"2007/09/01"
"hsp",25,"2010/02/10"
"bwp",101,"2011/03/01"
"bw1",115,"2011/04/25"
"bw4",103,"2012/02/08"
"bw5",111,"2012/05/09"
"mcd12",12,"2012/06/15"
"bw6",128,"2012/08/15"
"bw11",140,"2013/11/06"
"xy1",146,"2014/02/05"
"xy2",110,"2014/05/07"
"xy3",114,"2014/08/13"
"g1",117,"2016/02/22"
"sm1",173,"2017/02/03"
"sm2",180,"2017/05/05"
"sm4",126,"2017/11/03"
"sm5",178,"2018/02/02"
"sm8",240,"2018/11/02"
"sm9",198,"2019/02/01"
"sm10",234,"2019/05/03"
"sm11",260,"2019/08/02"
"sm115",69,"2019/08/23"
"sma",94,"2019/08/23"
"swsh2",209,"2020/05/01"
"swsh6",233,"2021/06/18"
"mcd15",12,"2015/11/27"
"bp",9,"2002/12/01"
"tk1b",10,"2004/06/01"
"swsh9tg",30,"2022/02/25"
"swsh10tg",30,"2022/05/27"
"swsh11",217,"2022/09/09"
"swsh12tg",30,"2022/11/11"
"swsh12pt5",160,"2023/01/20"
"sv2",279,"2023/06/09"
"sve",8,"2023/03/31"
"sv3",230,"2023/08/11"
"sv3pt5",207,"2023/09/22"
"sv4",266,"2023/11/03"
"sv4pt5",245,"2024/01/26"
"sv5",218,"2024/03/22"
